id,objective,theta0,theta1
0.0,4.305052719999999,2.43,1.9640000000000002,
1.0,3.7261695814451206,2.33412,2.192504,
2.0,3.246029393148105,2.20938432,2.378102144,
3.0,2.839328569372409,2.09401239552,2.548531549184,
4.0,2.4948321500600015,1.98782046799872,2.705380859162624,
5.0,2.203026045445094,1.8900861795513137,2.8497376298679664,
6.0,1.9558513350068105,1.8001360493208483,2.982596937184475,
7.0,1.746481700465146,1.717350101178775,3.10487451133457,
8.0,1.5691349007444897,1.641157735593113,3.217413146713701,
9.0,1.4189130816157947,1.5710337990581795,3.320988512360806,
10.0,1.2916675097877184,1.5064949645259154,3.4163144982570373,
11.0,1.1838839957564906,1.447096400089819,3.5040481357905913,
12.0,1.0925858410936615,1.3924287029948972,3.584794126325092,
13.0,1.0152516298299352,1.3421150778419304,3.6591090090849017,
14.0,0.9497455935483758,1.2958087395369204,3.7275049970843868,
15.0,0.8942586270532028,1.2531905230856337,3.7904535075401635,
16.0,0.8472583256213922,1.2139666837588214,3.848388411099578,
17.0,0.8074466639967971,1.1778668724658237,3.9017090222806265,
18.0,0.7737241483314296,1.144642272381884,3.9507828517348327,
19.0,0.7451594510443811,1.1140638839859354,3.9959481393029623,
20.0,0.7209636899927009,1.0859209466885367,4.037516185322591,
21.0,0.7004686416122872,1.0600194861710726,4.075773496255983,
22.0,0.6831082863327677,1.0361809774238089,4.110983759426954,
23.0,0.6684031765990841,1.014241114267822,4.143389660477543,
24.0,0.6559471957854437,0.9940486768797786,4.173214556071232,
25.0,0.6453963423175234,0.9754644895140161,4.200664013371797,
26.0,0.6364592292497503,0.9583604612380501,4.225927226908576,
27.0,0.6288890369208536,0.9426187030698131,4.249178322593873,
28.0,0.6224766964411143,0.9281307154315172,4.270577557880381,
29.0,0.6170451157570744,0.9147966403196951,4.290272426330685,
30.0,0.6124442888327319,0.9025245730370207,4.308398674212044,
31.0,0.6085471528756152,0.8912299287420478,4.325081236123311,
32.0,0.605246079195165,0.8808348594508236,4.340435096102766,
33.0,0.6024499007801256,0.8712677174720854,4.354566080152013,
34.0,0.6000813945044163,0.86246256157778,4.367571585638404,
35.0,0.5980751484265879,0.8543587025052043,4.3795412526033575,
36.0,0.5963757552832897,0.846900284658151,4.39055758160355,
37.0,0.5949362822857327,0.8400359011239547,4.400696502343434,
38.0,0.5937169749589565,0.8337182393529439,4.410027897018363,
39.0,0.5926841592273291,0.8279037550581708,4.4186160819754425,
40.0,0.5918093114247516,0.8225523720877654,4.42652025101195,
41.0,0.5910682705456891,0.8176272062013107,4.433794883366739,
42.0,0.5904405709814632,0.8130943108463629,4.440490119216695,
43.0,0.589908877313729,0.8089224431828971,4.446652105266345,
44.0,0.5894585055556146,0.8050828487430041,4.452323312812578,
45.0,0.5890770176184507,0.8015490632416182,4.457542830476738,
46.0,0.5887538778043303,0.7982967301722554,4.462346633621726,
47.0,0.588480161837725,0.7953034329305518,4.466767832311071,
48.0,0.5882483104003552,0.7925485403085158,4.470836899519009,
49.0,0.5880519203626206,0.7900130642945711,4.474581881164513,
50.0,0.5878855679459225,0.7876795291992761,4.47802858941691,
51.0,0.5877446589321021,0.7855318512046805,4.481200780605459,
52.0,0.5876253017831653,0.7835552275071114,4.484120318959106,
53.0,0.5875242001671923,0.7817360342893087,4.486807327305004,
54.0,0.5874385619222839,0.7800617328186908,4.489280325764473,
55.0,0.5873660219443564,0.7785207830245284,4.491556359402355,
56.0,0.5873045768691656,0.7771025639583695,4.493651115709596,
57.0,0.5872525297446258,0.7757973005894804,4.495579032728788,
58.0,0.5872084431654429,0.7745959964307533,4.4973533985679275,
59.0,0.5871710995757394,0.7734903715306964,4.4989864429882855,
60.0,0.5871394676433506,0.772472805404129,4.500489421697657,
61.0,0.5871126737771325,0.7715362845082228,4.501872693929976,
62.0,0.5870899780006587,0.7706743539018769,4.503145793846011,
63.0,0.5870707535160116,0.7698810727552384,4.504317496247275,
64.0,0.5870544693932642,0.7691509734027162,4.505395877056067,
65.0,0.5870406759075862,0.7684790236572668,4.506388368978518,
66.0,0.5870289921190209,0.7678605921262025,4.507301812734286,
67.0,0.5870190953519219,0.7672914162894607,4.508142504206001,
68.0,0.5870107122834959,0.7667675731203178,4.508916237833443,
69.0,0.5870036113953448,0.7662854520460494,4.509628346551536,
70.0,0.5869975965795312,0.7658417300621696,4.510283738547436,
71.0,0.5869925017225918,0.7654333488287277,4.510886931090058,
72.0,0.586988186117918,0.7650574935907941,4.511442081665211,
73.0,0.5869845305798103,0.7647115737778496,4.511953016630941,
74.0,0.5869814341518775,0.7643932051483596,4.512423257590582,
75.0,0.5869788113188882,0.7641001933564635,4.512856045665299,
76.0,0.5869765896450629,0.7638305188275134,4.513254363833416,
77.0,0.5869747077735883,0.7635823228382193,4.513620957490496,
78.0,0.5869731137321009,0.7633538947054573,4.513958353371904,
79.0,0.5869717634973505,0.7631436599954375,4.514268876968239,
80.0,0.5869706197793879,0.762950169671971,4.514554668553716,
81.0,0.586969650991717,0.7627720901090307,4.514817697937936,
82.0,0.5869688303789605,0.7626081938987763,4.515059778042734,
83.0,0.5869681352779418,0.7624573513916847,4.515282577397693,
84.0,0.5869675464917915,0.7623185229104742,4.5154876316404255,
85.0,0.5869670477597785,0.7621907515841635,4.515676354100911,
86.0,0.5869666253082282,0.7620731567528664,4.515850045542831,
87.0,0.586966267470137,0.7619649278978708,4.516009903129037,
88.0,0.5869659643629539,0.7618653190551656,4.5161570286729615,
89.0,0.5869657076156506,0.7617736436739058,4.516292436232834,
90.0,0.5869654901375402,0.7616892698843815,4.516417059101042,
91.0,0.5869653059224459,0.7616116161428769,4.516531756236823,
92.0,0.5869651498828301,0.7615401472233975,4.5166373181866115,
93.0,0.5869650177092858,0.7614743705286424,4.516734472532858,
94.0,0.5869649057515275,0.7614138326947926,4.516823888908868,
95.0,0.5869648109175744,0.7613581164667134,4.5169061836142275,
96.0,0.5869647305883596,0.7613068378220385,4.516981923862629,
97.0,0.5869646625454031,0.7612596433243072,4.517051631691376,
98.0,0.5869646049095355,0.7612162076869142,4.517115787559506,
99.0,0.5869645560890041,0.7611762315310817,4.517174833659342,

